,Point_estimate,Standard_error,Z-value,P-value
Diet,0.0796,0.0179,4.447,0.00
Gender,0.544,0.0377,14.44,0.00
Age,-0.0161,0.00123,-13.14,0.00
PIR,-0.0972,0.011,-8.839,0.00
Meal_out,-0.0552,0.0189,-2.924,0.00
Constant,1.547,0.089,17.38,0.00
